Designator,Quantity,Value,Footprint,Manufacturer,MPN

"Y1","1","32.768 kHz","ABS25","ABRACON","ABS25-32.768KHZ-6-T"
"J5","1","114-00841-68","114-00841-68","AMPHENOL COMMERCIAL PRODUCTS","114-00841-68"
"IC6, IC7","2","AD8211YRJ","SOT23-5","ANALOG DEVICES","AD8211YRJ"
"C13, C14, C36, C56, C59","5","10n","0402","AVX","04025G103ZAT2A"
"R24","1","0R","0603","BOURNS","CR0603-J/-000ELF"
"RST, USR","2","TL3340AF160QG","TL3340AF160QG","E-SWITCH","TL3340AF160QG"
"IC5","1","FT232RQ","QFN-32","FTDI","FT232RQ-REEL"
"M1","1","MM70-314-310B1","Apalis-H","JAE Electronics","MM70-314-310B1"
"C11, C12","2","22u","KEMET_C","KEMET","T491C226K025AT"
"BAT1","1","3030","KEYSTONE_CR1025","Keystone","3030"
"D18, D21","2","KPT-1608EC","LED0603","KINGBRIGHT","KPT-1608EC"
"D19","1","KPJA-2107CKCK","KPJA-2107","KINGBRIGHT","KPJA-2107CKCK"
"D20","1","KPJA-2107SYCK","KPJA-2107","KINGBRIGHT","KPJA-2107SYCK"
"D4, D10, D11, D15, D16, D17","6","KPT-1608SGC","LED0603","KINGBRIGHT","KPT-1608SGC"
"IC2, IC3","2","LT3976EMSE#PBF","LT3976EMSE","LINEAR TECHNOLOGY","LT3976EMSE#PBF"
"IC8","1","TC1047AVNBTR","SOT-23","MICROCHIP","TC1047AVNBTR"
"IC9","1","MCP79410","SOIC-8","MICROCHIP","MCP79410-I/SN"
"J10, J12","2","Molex 47346-0001","CON-Molex-047346-0001","Molex","473460001"
"J11","1","MX-22-23-2021","molex_2223-2021","Molex","022232021 A-6373-02A222"
"J7","1","47151-1001","Molex_HDMI_471511001","MOLEX","47151-1001"
"C15, C16","2","470p","0402","MULTICOMP","MC0402B471J500CT"
"C18, C19, C21, C22, C23, C24, C25, C26, C27, C35, C47, C48, C50","13","4u7","0603","MULTICOMP","MC0603X475K6R3CT"
