"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"SP8","M3-8mm","3444.882mil","588.032mil","3444.882mil","588.032mil","3444.882mil","588.032mil","B","180.00","9774080360"
"SP7","M3-8mm","492.126mil","588.032mil","492.126mil","588.032mil","492.126mil","588.032mil","B","180.00","9774080360"
"SP2","M3-3mm","3444.882mil","2595.906mil","3444.882mil","2595.906mil","3444.882mil","2595.906mil","B","180.00","9774030360"
"SP1","M3-3mm","492.126mil","2595.906mil","492.126mil","2595.906mil","492.126mil","2595.906mil","B","180.00","9774030360"
"C60","0402","796.85mil","431.89mil","796.85mil","431.89mil","796.85mil","450.787mil","B","270.00","100n"
"C59","0402","796.85mil","334.646mil","796.85mil","334.646mil","796.85mil","353.543mil","B","270.00","10n"
"L9","0603","851.181mil","381.496mil","851.181mil","381.496mil","851.181mil","413.583mil","B","90.00","BLM18SG121TN1D"
"D23","TPD2E2U06DRLR","732.284mil","314.961mil","732.284mil","314.961mil","712.598mil","283.465mil","B","270.00","TPD2E2U06DRLR"
"IC10","MSOP10","2184.059mil","1954.554mil","2184.059mil","1954.554mil","2264.768mil","1915.184mil","T","180.00","ADS1015IDGST"
"IC8","SOT-23","2183.885mil","2143.697mil","2183.885mil","2143.697mil","2146.484mil","2181.099mil","T","360.00","TC1047AVNBTR"
"C41","0402","2182.086mil","2227.362mil","2182.086mil","2227.362mil","2163.189mil","2227.362mil","T","360.00","100n"
"D9","TPD4E05U06_PASS","2104.331mil","534.842mil","2104.331mil","534.842mil","2064.961mil","550mil","T","0.00","TPD4E05U06"
"D22","TPD4E05U06_PASS","2268.701mil","534.842mil","2268.701mil","534.842mil","2229.331mil","550mil","T","0.00","TPD4E05U06"
"R46","0402","2006.89mil","601.284mil","2006.89mil","601.284mil","2025.787mil","601.284mil","T","180.00","10k"
"C56","0402","2006.89mil","566.929mil","2006.89mil","566.929mil","1987.992mil","566.929mil","T","360.00","10n"
"D6","TPD6E05U06_PASS","1541.339mil","695.985mil","1541.339mil","695.985mil","1482.284mil","671.379mil","T","360.00","TPD6E05U06"
"D14","TPD6E05U06_PASS","2411.417mil","2406.496mil","2411.417mil","2406.496mil","2411.417mil","2381.89mil","B","360.00","TPD6E05U06"
"D13","TPD6E05U06_PASS","2273.622mil","2327.756mil","2273.622mil","2327.756mil","2312.992mil","2303.15mil","B","360.00","TPD6E05U06"
"D12","TPD6E05U06_PASS","2135.827mil","2406.496mil","2135.827mil","2406.496mil","2194.882mil","2381.89mil","B","360.00","TPD6E05U06"
"IC23","SGP1917N5","2057.086mil","2092.52mil","2057.087mil","2092.52mil","2037.402mil","2122.047mil","B","360.00","EClamp8052P"
"IC22","SGP1917N5","1761.811mil","2092.52mil","1761.811mil","2092.52mil","1742.126mil","2122.047mil","B","360.00","EClamp8052P"
"IC21","SGP1917N5","1860.236mil","2092.52mil","1860.236mil","2092.52mil","1840.551mil","2122.047mil","B","360.00","EClamp8052P"
"IC20","SGP1917N5","1663.386mil","2194.882mil","1663.386mil","2194.882mil","1643.701mil","2224.409mil","B","360.00","EClamp8052P"
"IC19","SGP1917N5","1899.606mil","2194.882mil","1899.606mil","2194.882mil","1879.921mil","2224.409mil","B","360.00","EClamp8052P"
"IC18","SGP1917N5","1466.535mil","2194.882mil","1466.535mil","2194.882mil","1446.85mil","2224.409mil","B","360.00","EClamp8052P"
